pick,pick,natural,natural
Chain Lightning,Ice,862,978
Tempest Fury,Ice,279,220
Ice Shard,Darkness,55,727
Thunder Crash,Ice,197,989
Void Strike,Darkness,505,190
Winter's Wrath,Darkness,933,399
Glacial Spike,Ice,52,74
Frostbite,Storm,476,680
Frozen Prison,Darkness,193,588
Infinite Darkness,Darkness,187,729
Tempest Fury,Darkness,448,490
Thunderstorm,Storm,931,273
Ice Shard,Ice,130,501
Absolute Zero,Ice,240,438
Chain Lightning,Storm,8,596
Frostbite,Ice,891,792
Nightmare Curse,Ice,613,418
Frostbite,Ice,535,392
Ice Shard,Storm,355,436
Thunder Crash,Ice,50,890
Infinite Darkness,Darkness,207,719
Void Strike,Storm,324,977
Infinite Darkness,Darkness,473,736
Thunderstorm,Storm,640,18
Hurricane Call,Ice,559,809
Shadow Veil,Darkness,780,493
Winter's Wrath,Darkness,554,546
Tempest Fury,Darkness,86,510
Frostbite,Storm,890,294
Winter's Wrath,Ice,317,872
Ice Age,Ice,964,704
Glacial Spike,Storm,81,156
Storm Surge,Darkness,953,416
Storm Surge,Storm,652,575
Thunderstorm,Darkness,469,197
Ice Shard,Darkness,384,510
Hurricane Call,Ice,36,237
Chain Lightning,Ice,314,168
Lightning Bolt,Storm,256,362
Glacial Spike,Storm,538,824
Void Strike,Storm,318,418
Glacial Spike,Storm,708,647
Shadow Veil,Ice,763,211
Frostbite,Storm,688,775
Thunderstorm,Darkness,944,330
Chain Lightning,Ice,542,655
Tempest Fury,Ice,712,247
Winter's Wrath,Darkness,958,685
Void Strike,Darkness,834,42
Dark Nova,Darkness,213,556
Dark Eclipse,Darkness,961,678
Dark Nova,Storm,768,404
Absolute Zero,Darkness,706,872
Infinite Darkness,Storm,356,386
Lightning Bolt,Ice,371,619
Ice Shard,Ice,862,829
Void Strike,Storm,401,256
Chain Lightning,Storm,323,908
Dark Eclipse,Ice,262,375
Hurricane Call,Storm,206,410
Hurricane Call,Storm,844,201
Frozen Prison,Ice,642,663
Lightning Bolt,Darkness,555,865
Frostbite,Storm,231,636
Tempest Fury,Darkness,848,956
Lightning Bolt,Storm,404,703
Ice Shard,Darkness,986,592
Dark Eclipse,Storm,520,638
Chain Lightning,Ice,743,76
Chain Lightning,Ice,829,327
Hurricane Call,Storm,912,350
Absolute Zero,Storm,210,803
Ice Age,Storm,43,627
Void Strike,Darkness,80,164
Thunder Crash,Storm,72,932
Frostbite,Darkness,345,125
Void Strike,Storm,960,920
Shadow Veil,Ice,91,631
Lightning Bolt,Darkness,209,237
Lightning Bolt,Ice,306,197
Shadow Veil,Storm,474,702
Shadow Veil,Storm,550,254
Lightning Bolt,Ice,630,678
Dark Eclipse,Ice,293,168
Ice Age,Storm,418,286
Dark Nova,Ice,367,509
Infinite Darkness,Darkness,216,589
Frostbite,Storm,24,448
Shadow Veil,Ice,879,957
Dark Nova,Darkness,428,592
Shadow Veil,Ice,32,49
Frozen Prison,Storm,958,765
Dark Eclipse,Storm,914,718
Glacial Spike,Storm,103,643
Ice Shard,Darkness,516,218
Hurricane Call,Darkness,218,711
Blizzard Strike,Ice,857,102
Frostbite,Darkness,928,934
Dark Eclipse,Ice,562,130
Blizzard Strike,Darkness,387,535
Nightmare Curse,Storm,696,969
Glacial Spike,Storm,545,294
Hurricane Call,Storm,950,99
Ice Shard,Ice,45,817
Blizzard Strike,Darkness,274,110
Thunderstorm,Ice,929,635
Absolute Zero,Ice,833,648
Abyssal Wrath,Storm,385,511
Blizzard Strike,Ice,809,896
Dark Eclipse,Darkness,946,724
Chain Lightning,Storm,131,892
Thunder Crash,Storm,29,987
Void Strike,Darkness,461,538
Absolute Zero,Storm,259,318
Glacial Spike,Ice,761,399
Shadow Veil,Ice,367,565
Frozen Prison,Ice,943,712
Glacial Spike,Darkness,686,217
Ice Shard,Storm,525,767
Dark Nova,Ice,623,152
Storm Surge,Ice,773,301
Absolute Zero,Darkness,990,886
Thunderstorm,Ice,300,101
Thunder Crash,Storm,631,4
Shadow Veil,Ice,537,772
Frozen Prison,Darkness,873,843
Infinite Darkness,Darkness,260,555
Storm Surge,Storm,217,318
Frozen Prison,Storm,297,306
Glacial Spike,Ice,727,335
Void Strike,Darkness,628,387
Thunderstorm,Ice,545,127
Nightmare Curse,Ice,674,534
Chain Lightning,Storm,997,955
Lightning Bolt,Ice,81,398
Thunder Crash,Darkness,466,719
Glacial Spike,Ice,842,645
Chain Lightning,Ice,105,63
Void Strike,Storm,884,360
Dark Nova,Ice,651,641
Lightning Bolt,Storm,781,66
Thunderstorm,Ice,252,999
Storm Surge,Storm,22,423
Void Strike,Storm,208,402
Winter's Wrath,Storm,729,389
Dark Nova,Darkness,960,818
Ice Shard,Darkness,141,647
Abyssal Wrath,Storm,572,299
Tempest Fury,Darkness,452,495
Storm Surge,Storm,20,252
Glacial Spike,Storm,860,86
Ice Age,Darkness,854,31
Tempest Fury,Darkness,892,677
Tempest Fury,Storm,721,670
Glacial Spike,Darkness,807,994
Absolute Zero,Darkness,247,496
Dark Eclipse,Storm,172,839
Infinite Darkness,Ice,931,567
Lightning Bolt,Storm,139,31
Chain Lightning,Ice,301,748
Ice Age,Ice,930,725
Lightning Bolt,Ice,667,995
Hurricane Call,Storm,752,997
Ice Age,Darkness,356,63
Ice Shard,Darkness,160,24
Storm Surge,Ice,704,976
Absolute Zero,Darkness,57,655
Ice Age,Darkness,392,851
Winter's Wrath,Darkness,811,555
Tempest Fury,Darkness,7,61
Thunder Crash,Ice,88,205
Chain Lightning,Darkness,823,294
Infinite Darkness,Ice,504,420
Thunderstorm,Storm,612,170
Void Strike,Storm,449,305
Void Strike,Storm,670,832
Tempest Fury,Storm,509,142
Thunder Crash,Ice,333,30
Infinite Darkness,Storm,896,27
Dark Eclipse,Ice,213,674
Winter's Wrath,Ice,705,134
Frostbite,Ice,83,459
Hurricane Call,Darkness,586,780
Winter's Wrath,Ice,44,584
Frostbite,Ice,114,475
Blizzard Strike,Ice,536,293
Hurricane Call,Storm,862,193
Thunderstorm,Darkness,826,802
Dark Nova,Ice,619,221
Ice Age,Ice,552,815
Hurricane Call,Ice,605,814
Void Strike,Storm,137,846
Blizzard Strike,Ice,483,912
Absolute Zero,Ice,935,897
Shadow Veil,Darkness,288,941
Ice Shard,Ice,425,25
Chain Lightning,Darkness,885,825
Void Strike,Darkness,442,615
Void Strike,Storm,671,789
Ice Shard,Storm,441,644
Glacial Spike,Darkness,453,992
Blizzard Strike,Storm,33,610
Dark Nova,Ice,351,40
Lightning Bolt,Darkness,440,561
Abyssal Wrath,Ice,820,97
Tempest Fury,Darkness,292,706
Dark Eclipse,Ice,274,89
Shadow Veil,Darkness,599,606
Blizzard Strike,Darkness,841,205
Absolute Zero,Storm,888,219
Infinite Darkness,Darkness,7,162
Tempest Fury,Ice,147,540
Absolute Zero,Storm,209,119
Lightning Bolt,Storm,790,949
Absolute Zero,Storm,371,955
Winter's Wrath,Storm,177,525
Ice Shard,Darkness,398,348
Blizzard Strike,Ice,794,296
Storm Surge,Storm,581,97
Infinite Darkness,Darkness,413,974
Nightmare Curse,Darkness,751,280
Frostbite,Storm,305,402
Void Strike,Ice,500,959
Infinite Darkness,Storm,832,318
Winter's Wrath,Storm,66,600
Glacial Spike,Darkness,456,313
Abyssal Wrath,Storm,207,145
Storm Surge,Ice,983,881
Chain Lightning,Darkness,497,559
Thunder Crash,Darkness,486,268
Ice Shard,Ice,21,815
Dark Nova,Storm,1,458
Frostbite,Storm,160,463
Lightning Bolt,Ice,221,297
Frostbite,Ice,1,636
Frozen Prison,Storm,394,340
Dark Nova,Ice,829,694
Frostbite,Ice,582,178
Thunder Crash,Darkness,486,570
Void Strike,Storm,863,604
Frostbite,Darkness,821,894
Frozen Prison,Storm,655,638
Chain Lightning,Storm,240,561
Winter's Wrath,Ice,206,958
Void Strike,Darkness,319,246
Lightning Bolt,Ice,177,156
Dark Nova,Darkness,288,124
Chain Lightning,Storm,0,529
Void Strike,Storm,940,806
Frozen Prison,Darkness,505,848
Dark Eclipse,Darkness,976,343
Ice Shard,Ice,285,215
Hurricane Call,Darkness,883,596
Frozen Prison,Storm,959,506
Chain Lightning,Darkness,411,342
Tempest Fury,Ice,514,850
Nightmare Curse,Ice,352,647
Storm Surge,Storm,752,391
Hurricane Call,Darkness,704,619
Dark Nova,Ice,153,55
Nightmare Curse,Storm,160,777
Frostbite,Darkness,630,393
Dark Nova,Ice,529,981
Chain Lightning,Darkness,304,833
Hurricane Call,Storm,521,602
Ice Age,Darkness,922,645
Lightning Bolt,Ice,668,460
Abyssal Wrath,Ice,746,229
Abyssal Wrath,Ice,384,291
Nightmare Curse,Ice,767,111
Void Strike,Storm,573,687
Tempest Fury,Darkness,309,36
Dark Eclipse,Darkness,208,313
Lightning Bolt,Darkness,3,242
Blizzard Strike,Ice,301,501
Ice Shard,Ice,916,193
Shadow Veil,Darkness,297,132
Thunder Crash,Darkness,917,865
Lightning Bolt,Ice,145,923
Ice Age,Storm,489,365
Dark Nova,Darkness,113,515
Thunder Crash,Ice,477,161
Ice Shard,Storm,492,497
Winter's Wrath,Ice,511,885
Winter's Wrath,Darkness,175,791
Frostbite,Ice,658,722
Ice Shard,Ice,486,95
Shadow Veil,Ice,506,967
Nightmare Curse,Storm,894,943
Void Strike,Storm,436,934
Frostbite,Darkness,618,657
Chain Lightning,Ice,167,814
Blizzard Strike,Ice,174,577
Glacial Spike,Ice,391,228
Glacial Spike,Storm,31,743
Lightning Bolt,Ice,427,924
Frozen Prison,Ice,27,832
Blizzard Strike,Darkness,54,842
Abyssal Wrath,Ice,709,749
Frozen Prison,Ice,535,820
Ice Age,Storm,522,21
Absolute Zero,Storm,332,141
Hurricane Call,Darkness,795,621
Ice Shard,Storm,558,118
Tempest Fury,Ice,190,189
Abyssal Wrath,Storm,299,137
Absolute Zero,Darkness,195,918
Ice Shard,Storm,198,532
Dark Eclipse,Storm,511,57
Winter's Wrath,Storm,953,494
Thunderstorm,Storm,585,430
Lightning Bolt,Darkness,404,571
Nightmare Curse,Ice,596,967
Tempest Fury,Ice,707,120
Thunder Crash,Storm,909,703
Hurricane Call,Ice,54,578
Abyssal Wrath,Ice,245,82
Blizzard Strike,Darkness,106,538
Void Strike,Ice,416,142
Shadow Veil,Storm,363,886
Absolute Zero,Storm,651,537
Glacial Spike,Ice,994,895
Storm Surge,Ice,963,368
Lightning Bolt,Ice,404,589
Glacial Spike,Ice,8,347
Shadow Veil,Storm,752,89
Abyssal Wrath,Storm,22,193
Frostbite,Ice,592,264
Frozen Prison,Darkness,221,535
Ice Age,Darkness,366,558
Dark Eclipse,Darkness,75,164
Chain Lightning,Darkness,506,138
Nightmare Curse,Ice,14,937
Hurricane Call,Ice,67,956
Nightmare Curse,Darkness,515,76
Frozen Prison,Darkness,44,127
Glacial Spike,Ice,812,659
Dark Eclipse,Storm,163,846
Abyssal Wrath,Storm,136,397
Nightmare Curse,Ice,903,331
Thunder Crash,Storm,957,579
Storm Surge,Darkness,259,650
Tempest Fury,Ice,294,584
Chain Lightning,Darkness,638,903
Frozen Prison,Ice,701,421
Tempest Fury,Ice,709,109
Ice Shard,Darkness,970,308
Thunder Crash,Ice,192,22
Tempest Fury,Storm,311,360
Abyssal Wrath,Darkness,936,426
Infinite Darkness,Darkness,405,41
Hurricane Call,Ice,97,554
Dark Eclipse,Storm,989,544
Dark Eclipse,Storm,116,909
Dark Eclipse,Storm,773,347
Thunder Crash,Darkness,439,138
Tempest Fury,Storm,527,490
Lightning Bolt,Ice,523,71
Void Strike,Darkness,874,236
Glacial Spike,Ice,722,450
Dark Eclipse,Ice,20,891
Glacial Spike,Ice,809,520
Frostbite,Storm,880,99
Shadow Veil,Darkness,412,304
Glacial Spike,Storm,176,859
Void Strike,Ice,124,78
Frostbite,Storm,790,104
Dark Nova,Ice,638,879
Thunderstorm,Darkness,839,716
Abyssal Wrath,Ice,431,838
Chain Lightning,Darkness,783,902
Thunder Crash,Darkness,664,588
Tempest Fury,Darkness,902,979
Dark Nova,Darkness,219,169
Ice Shard,Ice,980,880
Infinite Darkness,Storm,97,164
Glacial Spike,Storm,562,950
Void Strike,Storm,184,489
Frozen Prison,Darkness,622,184
Nightmare Curse,Storm,12,519
Frostbite,Storm,940,949
Tempest Fury,Darkness,665,435
Thunder Crash,Storm,688,923
Hurricane Call,Storm,618,198
Hurricane Call,Storm,176,151
Lightning Bolt,Storm,757,428
Frostbite,Storm,958,859
Glacial Spike,Darkness,35,879
Ice Shard,Ice,944,203
Chain Lightning,Ice,200,15
Void Strike,Ice,680,600
Frostbite,Ice,421,53
Glacial Spike,Storm,271,175
Shadow Veil,Storm,581,687
Shadow Veil,Ice,609,684
Nightmare Curse,Storm,778,576
Ice Age,Darkness,148,71
Glacial Spike,Storm,989,487
Thunderstorm,Storm,35,285
Infinite Darkness,Storm,942,748
Dark Eclipse,Ice,341,500
Blizzard Strike,Storm,182,906
Tempest Fury,Ice,0,192
Dark Nova,Ice,20,748
Ice Shard,Darkness,136,761
Glacial Spike,Storm,686,669
Glacial Spike,Ice,471,988
Tempest Fury,Darkness,839,338
Hurricane Call,Darkness,498,630
Dark Nova,Darkness,11,868
Nightmare Curse,Ice,877,979
Thunderstorm,Ice,605,900
Shadow Veil,Storm,206,540
Shadow Veil,Storm,234,914
Frozen Prison,Storm,390,117
Chain Lightning,Ice,456,565
Tempest Fury,Storm,346,149
Glacial Spike,Ice,659,717
Glacial Spike,Storm,667,667
Abyssal Wrath,Darkness,564,203
Frozen Prison,Ice,679,365
Ice Age,Storm,28,518
Thunderstorm,Storm,860,102
Glacial Spike,Darkness,306,396
Absolute Zero,Storm,424,77
Winter's Wrath,Storm,518,59
Glacial Spike,Storm,499,146
Shadow Veil,Storm,271,931
Storm Surge,Storm,611,578
Shadow Veil,Storm,679,394
Glacial Spike,Ice,487,648
Absolute Zero,Darkness,356,35
Shadow Veil,Storm,641,639
Infinite Darkness,Storm,686,839
Ice Age,Darkness,458,8
Chain Lightning,Storm,89,684
Hurricane Call,Ice,770,457
Void Strike,Ice,76,796
Thunderstorm,Darkness,691,734
Nightmare Curse,Storm,311,281
Thunderstorm,Darkness,434,2
Glacial Spike,Storm,882,338
Void Strike,Darkness,930,234
Storm Surge,Storm,121,908
Abyssal Wrath,Darkness,532,720
Lightning Bolt,Darkness,681,74
Infinite Darkness,Storm,507,321
Thunder Crash,Ice,945,37
Ice Shard,Darkness,478,519
Blizzard Strike,Storm,24,333
Tempest Fury,Darkness,273,252
Thunder Crash,Darkness,408,970
Frostbite,Darkness,324,833
Frozen Prison,Ice,443,538
Dark Nova,Storm,107,328
Ice Shard,Storm,444,207
Thunder Crash,Ice,500,270
Hurricane Call,Ice,399,548
Dark Eclipse,Darkness,941,386
Thunder Crash,Darkness,32,479
Thunderstorm,Darkness,122,148
Chain Lightning,Darkness,682,585
Tempest Fury,Ice,244,595
Chain Lightning,Ice,408,62
Dark Eclipse,Ice,331,951
Hurricane Call,Storm,111,443
Shadow Veil,Darkness,544,563
Frostbite,Darkness,827,917
Shadow Veil,Darkness,837,579
Lightning Bolt,Storm,74,734
Dark Eclipse,Darkness,517,369
Infinite Darkness,Ice,17,637
Ice Shard,Ice,833,651
Chain Lightning,Ice,11,511
Storm Surge,Storm,886,138
Void Strike,Ice,584,549
Infinite Darkness,Darkness,304,462
Lightning Bolt,Ice,306,809
Thunder Crash,Storm,284,542
Dark Eclipse,Darkness,397,289
Ice Age,Ice,194,563
Hurricane Call,Storm,989,762
Dark Nova,Darkness,660,242
Chain Lightning,Ice,414,655
Ice Shard,Ice,334,839
Dark Eclipse,Ice,225,380
Blizzard Strike,Darkness,973,450
Shadow Veil,Ice,785,754
Ice Shard,Storm,535,189
Glacial Spike,Darkness,873,920
Infinite Darkness,Ice,315,260
Shadow Veil,Ice,377,373
Frozen Prison,Storm,79,663
Glacial Spike,Darkness,555,249
Thunder Crash,Ice,735,590
Shadow Veil,Ice,6,821
Infinite Darkness,Ice,729,272
Blizzard Strike,Ice,930,871
Absolute Zero,Darkness,212,94
Lightning Bolt,Darkness,889,859
Shadow Veil,Ice,755,484
Chain Lightning,Darkness,6,947
Ice Shard,Storm,8,471
Ice Shard,Storm,339,97
Ice Age,Storm,31,139
Lightning Bolt,Ice,995,432
Glacial Spike,Darkness,697,487
Infinite Darkness,Storm,687,834
Chain Lightning,Storm,827,435
Dark Nova,Ice,227,774
Frostbite,Storm,184,344
Tempest Fury,Darkness,252,992
Frostbite,Storm,936,268
Frostbite,Ice,695,883
Ice Shard,Ice,362,81
Glacial Spike,Ice,164,248
Ice Age,Storm,591,169
Ice Age,Storm,403,230
Winter's Wrath,Darkness,435,295
Dark Nova,Storm,376,786
Absolute Zero,Darkness,649,857
Blizzard Strike,Storm,7,574
Nightmare Curse,Darkness,746,798
Shadow Veil,Darkness,107,407
Storm Surge,Darkness,670,845
Ice Shard,Storm,622,164
Void Strike,Ice,577,986
Shadow Veil,Ice,571,994
Shadow Veil,Ice,607,683
Tempest Fury,Ice,707,814
Winter's Wrath,Storm,349,243
Frostbite,Darkness,716,838
Abyssal Wrath,Darkness,820,795
Glacial Spike,Storm,983,571
Abyssal Wrath,Storm,930,103
Shadow Veil,Storm,699,193
Abyssal Wrath,Darkness,361,938
Hurricane Call,Darkness,972,463
Winter's Wrath,Darkness,208,134
Thunderstorm,Ice,550,85
Dark Eclipse,Darkness,852,947
Frostbite,Storm,693,192
Hurricane Call,Ice,542,297
Thunder Crash,Storm,554,314
Lightning Bolt,Ice,419,120
Absolute Zero,Storm,153,212
Blizzard Strike,Storm,185,727
Tempest Fury,Ice,744,32
Ice Age,Ice,819,407
Nightmare Curse,Darkness,965,418
Blizzard Strike,Storm,770,440
Nightmare Curse,Storm,579,124
Dark Eclipse,Ice,106,645
Lightning Bolt,Storm,11,768
Nightmare Curse,Darkness,943,647
Abyssal Wrath,Storm,902,673
Infinite Darkness,Storm,681,520
Infinite Darkness,Storm,805,935
Abyssal Wrath,Darkness,949,692
Winter's Wrath,Darkness,890,466
Ice Shard,Storm,307,186
Dark Eclipse,Storm,596,3
Frostbite,Storm,792,30
Shadow Veil,Storm,444,851
Thunder Crash,Storm,533,161
Frozen Prison,Storm,815,903
Blizzard Strike,Storm,234,497
Tempest Fury,Ice,165,5
Ice Shard,Darkness,717,490
Infinite Darkness,Ice,69,62
Frozen Prison,Darkness,407,660
Ice Shard,Ice,614,261
Abyssal Wrath,Storm,856,667
Thunderstorm,Darkness,320,59
Winter's Wrath,Ice,286,45
Storm Surge,Darkness,712,284
Storm Surge,Darkness,223,547
Dark Nova,Ice,983,116
Void Strike,Ice,585,860
Frostbite,Storm,945,258
Glacial Spike,Ice,733,711
Glacial Spike,Storm,783,81
Absolute Zero,Storm,784,568
Void Strike,Storm,132,493
Void Strike,Storm,788,232
Abyssal Wrath,Darkness,170,705
Hurricane Call,Storm,142,495
Nightmare Curse,Ice,955,422
Abyssal Wrath,Storm,700,600
Shadow Veil,Storm,278,675
Void Strike,Darkness,997,788
Abyssal Wrath,Darkness,790,584
Blizzard Strike,Darkness,373,149
Void Strike,Darkness,972,976
Dark Eclipse,Ice,739,716
Thunderstorm,Darkness,904,698
Shadow Veil,Storm,353,651
Abyssal Wrath,Darkness,539,351
Thunderstorm,Darkness,669,431
Dark Eclipse,Storm,87,143
Absolute Zero,Storm,246,237
Blizzard Strike,Darkness,291,873
Lightning Bolt,Ice,395,391
Nightmare Curse,Storm,678,256
Ice Age,Darkness,822,155
Hurricane Call,Darkness,65,574
Dark Nova,Storm,833,923
Frostbite,Darkness,488,268
Dark Nova,Darkness,332,741
Abyssal Wrath,Ice,481,593
Winter's Wrath,Ice,797,130
Tempest Fury,Ice,628,315
Tempest Fury,Storm,788,437
Shadow Veil,Darkness,139,281
Thunderstorm,Storm,502,358
Chain Lightning,Storm,396,620
Frostbite,Darkness,626,266
Glacial Spike,Storm,664,114
Frozen Prison,Ice,273,327
Thunderstorm,Storm,647,570
Blizzard Strike,Darkness,235,474
Abyssal Wrath,Ice,244,506
Ice Shard,Storm,345,226
Frostbite,Ice,413,660
Ice Shard,Storm,333,188
Thunder Crash,Storm,614,75
Glacial Spike,Darkness,880,696
Absolute Zero,Ice,294,516
Storm Surge,Darkness,108,193
Winter's Wrath,Storm,277,74
Ice Age,Darkness,859,148
Storm Surge,Storm,677,932
Infinite Darkness,Storm,93,561
Frozen Prison,Ice,211,334
Dark Nova,Ice,227,649
Ice Age,Ice,673,59
Dark Eclipse,Darkness,656,622
Storm Surge,Ice,173,48
Storm Surge,Darkness,141,936
Absolute Zero,Storm,47,301
Storm Surge,Ice,472,536
Dark Eclipse,Darkness,996,459
Blizzard Strike,Storm,857,419
Glacial Spike,Storm,765,186
Void Strike,Ice,134,950
Hurricane Call,Storm,938,750
Frostbite,Storm,244,498
Dark Nova,Darkness,876,703
Lightning Bolt,Storm,260,263
Shadow Veil,Ice,639,688
Lightning Bolt,Darkness,909,504
Infinite Darkness,Darkness,387,907
Glacial Spike,Storm,542,179
Glacial Spike,Ice,302,56
Absolute Zero,Ice,660,121
Tempest Fury,Darkness,154,677
Dark Nova,Darkness,236,399
Hurricane Call,Darkness,369,565
Dark Nova,Darkness,212,645
Thunderstorm,Darkness,992,56
Ice Shard,Ice,423,528
Winter's Wrath,Darkness,290,559
Thunder Crash,Ice,30,339
Tempest Fury,Ice,750,702
Void Strike,Ice,997,627
Winter's Wrath,Storm,327,566
Ice Shard,Ice,119,874
Nightmare Curse,Darkness,147,710
Nightmare Curse,Storm,622,710
Glacial Spike,Storm,63,581
Void Strike,Darkness,137,71
Dark Eclipse,Ice,630,103
Frostbite,Storm,335,64
Shadow Veil,Darkness,148,889
Frostbite,Darkness,566,827
Dark Nova,Storm,269,663
Shadow Veil,Storm,796,642
Storm Surge,Ice,865,56
Nightmare Curse,Darkness,387,707
Glacial Spike,Ice,673,948
Frozen Prison,Storm,889,233
Dark Nova,Ice,82,230
Dark Nova,Ice,151,72
Winter's Wrath,Ice,110,984
Blizzard Strike,Ice,262,830
Dark Eclipse,Ice,398,828
Nightmare Curse,Ice,394,787
Hurricane Call,Darkness,511,114
Lightning Bolt,Darkness,138,93
Void Strike,Ice,743,701
Shadow Veil,Ice,616,8
Blizzard Strike,Darkness,823,372
Storm Surge,Storm,219,410
Dark Nova,Storm,870,887
Chain Lightning,Ice,739,102
Thunderstorm,Darkness,362,712
Shadow Veil,Storm,903,473
Dark Nova,Storm,917,865
Tempest Fury,Ice,488,691
Lightning Bolt,Storm,3,607
Frostbite,Ice,543,410
Glacial Spike,Ice,555,698
Thunder Crash,Storm,213,111
Storm Surge,Storm,370,59
Hurricane Call,Storm,29,83
Dark Eclipse,Storm,639,701
Chain Lightning,Ice,285,889
Infinite Darkness,Ice,597,546
Infinite Darkness,Storm,416,795
Frozen Prison,Darkness,481,300
Blizzard Strike,Darkness,635,961
Glacial Spike,Storm,252,353
Thunder Crash,Darkness,273,659
Frostbite,Ice,300,845
Lightning Bolt,Storm,566,791
Blizzard Strike,Darkness,828,799
Winter's Wrath,Darkness,19,814
Ice Age,Darkness,239,408
Lightning Bolt,Ice,164,724
Winter's Wrath,Darkness,192,214
Thunder Crash,Darkness,859,415
Thunder Crash,Storm,27,99
Abyssal Wrath,Darkness,765,66
Tempest Fury,Ice,81,502
Lightning Bolt,Darkness,625,188
Lightning Bolt,Ice,826,962
Glacial Spike,Storm,934,639
Dark Nova,Ice,891,360
Void Strike,Ice,707,823
Thunderstorm,Darkness,323,783
Frostbite,Darkness,945,872
Tempest Fury,Ice,172,542
Ice Shard,Storm,254,312
Lightning Bolt,Ice,953,742
Void Strike,Storm,621,961
Thunder Crash,Ice,370,563
Void Strike,Darkness,966,172
Frostbite,Storm,977,492
Thunder Crash,Ice,265,0
Tempest Fury,Storm,497,951
Dark Eclipse,Ice,870,72
Winter's Wrath,Darkness,225,262
Hurricane Call,Ice,880,140
Tempest Fury,Darkness,712,25
Blizzard Strike,Storm,940,93
Infinite Darkness,Ice,977,230
Glacial Spike,Storm,421,212
Storm Surge,Ice,654,876
Thunderstorm,Darkness,705,103
Lightning Bolt,Darkness,44,870
Ice Shard,Storm,961,312
Shadow Veil,Ice,984,552
Frozen Prison,Storm,297,6
Dark Eclipse,Darkness,641,241
